tree,order,trial,batch,n_deleted,time_ms,height_after,util_after
Btree,3,1,10pct,10000,1.73217,8,0.603298
Btree,3,1,20pct_total,20000,1.51513,8,0.567336
Bstartree,3,1,10pct,10000,1.04167,7,0.751315
Bstartree,3,1,20pct_total,20000,0.992042,7,0.675818
Bplustree,3,1,10pct,10000,1.188,8,0.667873
Bplustree,3,1,20pct_total,20000,1.09621,8,0.614654
Btree,4,1,10pct,10000,1.22863,7,0.611081
Btree,4,1,20pct_total,20000,1.15554,7,0.577259
Bstartree,4,1,10pct,10000,0.857834,6,0.761454
Bstartree,4,1,20pct_total,20000,0.849667,6,0.682221
Bplustree,4,1,10pct,10000,0.933792,7,0.658181
Bplustree,4,1,20pct_total,20000,0.942917,7,0.605472
Btree,5,1,10pct,10000,1.07033,6,0.61954
Btree,5,1,20pct_total,20000,1.0235,6,0.584718
Bstartree,5,1,10pct,10000,0.812542,6,0.763709
Bstartree,5,1,20pct_total,20000,0.800083,6,0.683445
Bplustree,5,1,10pct,10000,0.87475,6,0.652421
Bplustree,5,1,20pct_total,20000,0.859625,6,0.600979
Btree,7,1,10pct,10000,1.03208,5,0.625334
Btree,7,1,20pct_total,20000,0.868459,5,0.592514
Bstartree,7,1,10pct,10000,0.721792,5,0.770258
Bstartree,7,1,20pct_total,20000,0.717833,5,0.686813
Bplustree,7,1,10pct,10000,0.792875,5,0.646936
Bplustree,7,1,20pct_total,20000,0.824917,5,0.597603
Btree,10,1,10pct,10000,0.825208,5,0.62607
Btree,10,1,20pct_total,20000,0.830125,5,0.597407
Bstartree,10,1,10pct,10000,0.640166,4,0.768344
Bstartree,10,1,20pct_total,20000,0.6305,4,0.68475
Bplustree,10,1,10pct,10000,0.708375,5,0.64244
Bplustree,10,1,20pct_total,20000,0.780584,5,0.598553
Btree,15,1,10pct,10000,0.697917,4,0.633486
Btree,15,1,20pct_total,20000,0.729208,4,0.607626
Bstartree,15,1,10pct,10000,0.620375,4,0.777222
Bstartree,15,1,20pct_total,20000,0.644792,4,0.692077
Bplustree,15,1,10pct,10000,0.671125,4,0.63505
Bplustree,15,1,20pct_total,20000,0.677208,4,0.599375
Btree,20,1,10pct,10000,0.680417,4,0.637484
Btree,20,1,20pct_total,20000,0.702167,4,0.609412
Bstartree,20,1,10pct,10000,0.609791,4,0.780417
Bstartree,20,1,20pct_total,20000,0.622875,4,0.694643
Bplustree,20,1,10pct,10000,0.685625,4,0.637614
Bplustree,20,1,20pct_total,20000,0.673542,4,0.605581
Btree,30,1,10pct,10000,0.655125,4,0.63852
Btree,30,1,20pct_total,20000,0.683334,4,0.616053
Bstartree,30,1,10pct,10000,0.578916,3,0.775902
Bstartree,30,1,20pct_total,20000,0.554083,3,0.690042
Bplustree,30,1,10pct,10000,0.705292,4,0.638087
Bplustree,30,1,20pct_total,20000,0.691875,4,0.61037
Btree,50,1,10pct,10000,0.676209,3,0.643376
Btree,50,1,20pct_total,20000,0.677458,3,0.619694
Bstartree,50,1,10pct,10000,0.650125,3,0.793966
Bstartree,50,1,20pct_total,20000,0.652417,3,0.705747
Bplustree,50,1,10pct,10000,0.775625,3,0.645251
Bplustree,50,1,20pct_total,20000,0.739208,3,0.619369
Btree,3,2,10pct,10000,1.57317,8,0.601303
Btree,3,2,20pct_total,20000,1.40787,8,0.566793
Bstartree,3,2,10pct,10000,1.07246,7,0.751597
Bstartree,3,2,20pct_total,20000,0.993583,7,0.677048
Bplustree,3,2,10pct,10000,1.11312,8,0.668343
Bplustree,3,2,20pct_total,20000,1.06654,8,0.61479
Btree,4,2,10pct,10000,1.428,7,0.612012
Btree,4,2,20pct_total,20000,1.159,7,0.576764
Bstartree,4,2,10pct,10000,0.873125,6,0.762583
Bstartree,4,2,20pct_total,20000,0.856583,6,0.683691
Bplustree,4,2,10pct,10000,0.99775,7,0.659765
Bplustree,4,2,20pct_total,20000,0.912208,7,0.606409
Btree,5,2,10pct,10000,1.05633,6,0.618965
Btree,5,2,20pct_total,20000,0.98325,6,0.583682
