tree,ordering,trial,time_ms,splits,utilization,height
Btree,sorted,1,2.70971,11103,0.473817,5
Bstartree,sorted,1,6.15625,8327,0.63168,5
Bplustree,sorted,1,3.98004,10994,0.526359,5
Btree,reverse,1,4.48412,11103,0.473817,5
Bstartree,reverse,1,8.96675,7687,0.684238,5
Bplustree,reverse,1,2.97042,11103,0.521194,5
Btree,csv,1,7.00838,7709,0.682286,5
Bstartree,csv,1,11.2163,6127,0.85845,4
Bplustree,csv,1,6.87012,8072,0.700592,5
Btree,shuffle,1,8.74646,7713,0.681933,5
Bstartree,shuffle,1,14.3032,6162,0.853577,4
Bplustree,shuffle,1,8.18417,8020,0.704791,5
Btree,shuffle,2,8.60063,7628,0.689527,5
Bstartree,shuffle,2,14.0241,6138,0.856913,4
Bplustree,shuffle,2,8.02592,8021,0.704664,5
Btree,shuffle,3,9.276,7721,0.681227,5
Bstartree,shuffle,3,14.2922,6135,0.857331,4
Bplustree,shuffle,3,8.08358,8057,0.701759,5
