tree,order,trial,time_ms,splits,utilization,height,node_count
Btree,3,1,22.3301,31212,0.640594,9,31221
Bstartree,3,1,24.257,23986,0.833576,7,23993
Bplustree,3,1,13.8925,35073,0.724244,8,35081
Btree,4,1,14.242,21723,0.657419,7,21730
Bstartree,4,1,18.8877,16886,0.845709,6,16892
Bplustree,4,1,11.5066,23844,0.716975,7,23851
Btree,5,1,12.3882,16595,0.669304,6,16601
Bstartree,5,1,17.0145,13094,0.848176,6,13100
Bplustree,5,1,10.0728,17995,0.712763,6,18001
Btree,7,1,10.2853,11311,0.679713,6,11317
Bstartree,7,1,15.9666,8984,0.855747,5,8989
Bplustree,7,1,8.92004,12035,0.708127,5,12040
Btree,10,1,9.64867,7713,0.681933,5,7718
Bstartree,10,1,15.641,6162,0.853577,4,6166
Bplustree,10,1,7.63438,8020,0.704791,5,8025
Btree,15,1,8.483,5018,0.686634,4,5022
Bstartree,15,1,12.2153,3989,0.86358,4,3993
Bplustree,15,1,7.34346,5214,0.693653,4,5218
Btree,20,1,7.89946,3720,0.688535,4,3724
Bstartree,20,1,11.5392,2953,0.86713,4,2957
Bplustree,20,1,7.13029,3820,0.695224,4,3824
Btree,30,1,7.72408,2447,0.69152,4,2451
Bstartree,30,1,11.7754,1963,0.862114,3,1966
Bplustree,30,1,7.76425,2484,0.697722,4,2488
Btree,50,1,8.08725,1451,0.694705,3,1454
Bstartree,50,1,12.1559,1142,0.882184,3,1145
Bplustree,50,1,8.34212,1463,0.698989,3,1466
Btree,3,2,15.6615,31318,0.638427,9,31327
Bstartree,3,2,22.0992,23972,0.834063,7,23979
Bplustree,3,2,13.7848,35024,0.725006,8,35032
Btree,4,2,13.6398,21609,0.660886,7,21616
Bstartree,4,2,19.1667,16862,0.846912,6,16868
Bplustree,4,2,11.1108,23773,0.719008,7,23780
Btree,5,2,11.946,16618,0.668378,6,16624
Bstartree,5,2,16.6747,13082,0.848954,6,13088
Bplustree,5,2,9.90929,17998,0.712805,6,18004
Btree,7,2,10.9116,11298,0.680494,6,11304
Bstartree,7,2,15.0955,8997,0.854511,5,9002
Bplustree,7,2,8.79721,12062,0.706657,5,12067
Btree,10,2,9.20508,7628,0.689527,5,7633
Bstartree,10,2,13.3386,6138,0.856913,4,6142
Bplustree,10,2,7.66308,8021,0.704664,5,8026
Btree,15,2,8.226,4997,0.689517,4,5001
Bstartree,15,2,11.9102,4001,0.860993,4,4005
Bplustree,15,2,7.16767,5176,0.698529,4,5180
Btree,20,2,9.5045,3708,0.69076,4,3712
Bstartree,20,2,19.0011,2954,0.866837,4,2958
Bplustree,20,2,8.45683,3812,0.696675,4,3816
Btree,30,2,8.01238,2477,0.683158,4,2481
Bstartree,30,2,12.6152,1950,0.867852,3,1953
Bplustree,30,2,8.09262,2517,0.688811,4,2521
Btree,50,2,8.17108,1437,0.701459,3,1440
Bstartree,50,2,13.2547,1163,0.866296,3,1166
Bplustree,50,2,8.45767,1476,0.692933,3,1479
Btree,3,3,17.6788,31298,0.638835,9,31307
Bstartree,3,3,26.0323,24024,0.832258,7,24031
Bplustree,3,3,14.0093,35078,0.723953,8,35086
Btree,4,3,13.6846,21582,0.661713,7,21589
Bstartree,4,3,19.3012,16920,0.84401,6,16926
Bplustree,4,3,12.0759,23750,0.719535,7,23757
Btree,5,3,12.4173,16577,0.67003,6,16583
Bstartree,5,3,18.6779,13125,0.846174,6,13131
Bplustree,5,3,10.6329,17995,0.712849,6,18001
Btree,7,3,11.1092,11307,0.679953,6,11313
Bstartree,7,3,15.3528,8987,0.855461,5,8992
Bplustree,7,3,9.15125,12071,0.706143,5,12076
Btree,10,3,9.12462,7721,0.681227,5,7726
Bstartree,10,3,12.8671,6135,0.857331,4,6139
Bplustree,10,3,7.71558,8057,0.701759,5,8062
Btree,15,3,8.24458,5021,0.686224,4,5025
Bstartree,15,3,12.0922,3997,0.861854,4,4001
Bplustree,15,3,7.46162,5174,0.698725,4,5178
Btree,20,3,7.63679,3726,0.687427,4,3730
Bstartree,20,3,12.0774,2969,0.862463,4,2973
Bplustree,20,3,7.25308,3804,0.698085,4,3808
Btree,30,3,7.38513,2457,0.68871,4,2461
Bstartree,30,3,11.08,1954,0.866078,3,1957
Bplustree,30,3,7.52267,2488,0.696629,4,2492
Btree,50,3,7.95488,1445,0.697584,3,1448
Bstartree,50,3,11.8715,1154,0.873035,3,1157
Bplustree,50,3,7.99692,1457,0.701826,3,1460
