tree,order,trial,time_ms,male_hits,avg_gpa,avg_height
Btree,3,1,0.226333,7215,3.27847,174.058
Bstartree,3,1,0.182125,7215,3.27847,174.058
Bplustree,3,1,0.124125,7215,3.27847,174.058
Btree,4,1,0.176875,7215,3.27847,174.058
Bstartree,4,1,0.1245,7215,3.27847,174.058
Bplustree,4,1,0.116625,7215,3.27847,174.058
Btree,5,1,0.146041,7215,3.27847,174.058
Bstartree,5,1,0.119417,7215,3.27847,174.058
Bplustree,5,1,0.103,7215,3.27847,174.058
Btree,7,1,0.138875,7215,3.27847,174.058
Bstartree,7,1,0.113917,7215,3.27847,174.058
Bplustree,7,1,0.094166,7215,3.27847,174.058
Btree,10,1,0.13475,7215,3.27847,174.058
Bstartree,10,1,0.107834,7215,3.27847,174.058
Bplustree,10,1,0.08525,7215,3.27847,174.058
Btree,15,1,0.119708,7215,3.27847,174.058
Bstartree,15,1,0.094291,7215,3.27847,174.058
Bplustree,15,1,0.076375,7215,3.27847,174.058
Btree,20,1,0.110917,7215,3.27847,174.058
Bstartree,20,1,0.091958,7215,3.27847,174.058
Bplustree,20,1,0.075042,7215,3.27847,174.058
Btree,30,1,0.105209,7215,3.27847,174.058
Bstartree,30,1,0.088417,7215,3.27847,174.058
Bplustree,30,1,0.071459,7215,3.27847,174.058
Btree,50,1,0.097791,7215,3.27847,174.058
Bstartree,50,1,0.09375,7215,3.27847,174.058
Bplustree,50,1,0.073708,7215,3.27847,174.058
Btree,3,2,0.1875,7215,3.27847,174.058
Bstartree,3,2,0.137291,7215,3.27847,174.058
Bplustree,3,2,0.124584,7215,3.27847,174.058
Btree,4,2,0.157333,7215,3.27847,174.058
Bstartree,4,2,0.126334,7215,3.27847,174.058
Bplustree,4,2,0.109083,7215,3.27847,174.058
Btree,5,2,0.153167,7215,3.27847,174.058
Bstartree,5,2,0.113792,7215,3.27847,174.058
Bplustree,5,2,0.098125,7215,3.27847,174.058
Btree,7,2,0.134417,7215,3.27847,174.058
Bstartree,7,2,0.106709,7215,3.27847,174.058
Bplustree,7,2,0.089459,7215,3.27847,174.058
Btree,10,2,0.117084,7215,3.27847,174.058
Bstartree,10,2,0.096458,7215,3.27847,174.058
Bplustree,10,2,0.08125,7215,3.27847,174.058
Btree,15,2,0.106084,7215,3.27847,174.058
Bstartree,15,2,0.090583,7215,3.27847,174.058
Bplustree,15,2,0.075625,7215,3.27847,174.058
Btree,20,2,0.2135,7215,3.27847,174.058
Bstartree,20,2,0.117458,7215,3.27847,174.058
Bplustree,20,2,0.084583,7215,3.27847,174.058
Btree,30,2,0.102542,7215,3.27847,174.058
Bstartree,30,2,0.100792,7215,3.27847,174.058
Bplustree,30,2,0.079,7215,3.27847,174.058
Btree,50,2,0.102875,7215,3.27847,174.058
Bstartree,50,2,0.10675,7215,3.27847,174.058
Bplustree,50,2,0.081166,7215,3.27847,174.058
Btree,3,3,0.236166,7215,3.27847,174.058
Bstartree,3,3,0.170792,7215,3.27847,174.058
Bplustree,3,3,0.127375,7215,3.27847,174.058
Btree,4,3,0.182083,7215,3.27847,174.058
Bstartree,4,3,0.175041,7215,3.27847,174.058
Bplustree,4,3,0.122291,7215,3.27847,174.058
Btree,5,3,0.165375,7215,3.27847,174.058
Bstartree,5,3,0.155875,7215,3.27847,174.058
Bplustree,5,3,0.106083,7215,3.27847,174.058
Btree,7,3,0.137625,7215,3.27847,174.058
Bstartree,7,3,0.1175,7215,3.27847,174.058
Bplustree,7,3,0.094167,7215,3.27847,174.058
Btree,10,3,0.115042,7215,3.27847,174.058
Bstartree,10,3,0.097667,7215,3.27847,174.058
Bplustree,10,3,0.079333,7215,3.27847,174.058
Btree,15,3,0.112208,7215,3.27847,174.058
Bstartree,15,3,0.096917,7215,3.27847,174.058
Bplustree,15,3,0.079166,7215,3.27847,174.058
Btree,20,3,0.096709,7215,3.27847,174.058
Bstartree,20,3,0.0965,7215,3.27847,174.058
Bplustree,20,3,0.0755,7215,3.27847,174.058
Btree,30,3,0.100167,7215,3.27847,174.058
Bstartree,30,3,0.084,7215,3.27847,174.058
Bplustree,30,3,0.073,7215,3.27847,174.058
Btree,50,3,0.1005,7215,3.27847,174.058
Bstartree,50,3,0.088709,7215,3.27847,174.058
Bplustree,50,3,0.070584,7215,3.27847,174.058
