tree,width,trial,time_ms,hits
Btree,100,1,0.000458,20
Bstartree,100,1,0.000292,20
Bplustree,100,1,0.000208,20
Btree,100,2,0.000167,10
Bstartree,100,2,0.000208,10
Bplustree,100,2,0.000209,10
Btree,100,3,0.000208,15
Bstartree,100,3,0.000208,15
Bplustree,100,3,0.000167,15
Btree,1000,1,0.000667,162
Bstartree,1000,1,0.000375,162
Bplustree,1000,1,0.0005,162
Btree,1000,2,0.000417,144
Bstartree,1000,2,0.000292,144
Bplustree,1000,2,0.000458,144
Btree,1000,3,0.000458,141
Bstartree,1000,3,0.000292,141
Bplustree,1000,3,0.000333,141
Btree,10000,1,0.002875,1423
Bstartree,10000,1,0.002208,1423
Bplustree,10000,1,0.002708,1423
Btree,10000,2,0.003041,1447
Bstartree,10000,2,0.00225,1447
Bplustree,10000,2,0.002667,1447
Btree,10000,3,0.003125,1461
Bstartree,10000,3,0.002208,1461
Bplustree,10000,3,0.002,1461
Btree,100000,1,0.02675,14235
Bstartree,100000,1,0.017625,14235
Bplustree,100000,1,0.026083,14235
Btree,100000,2,0.026125,14367
Bstartree,100000,2,0.015541,14367
Bplustree,100000,2,0.019333,14367
Btree,100000,3,0.021292,14351
Bstartree,100000,3,0.015416,14351
Bplustree,100000,3,0.018375,14351
Btree,1000000,1,0.145208,100000
Bstartree,1000000,1,0.107291,100000
Bplustree,1000000,1,0.122458,100000
Btree,1000000,2,0.131458,100000
Bstartree,1000000,2,0.102458,100000
Bplustree,1000000,2,0.116709,100000
Btree,1000000,3,0.129041,100000
Bstartree,1000000,3,0.101208,100000
Bplustree,1000000,3,0.116125,100000
Btree,10000000,1,0.138583,100000
Bstartree,10000000,1,0.10725,100000
Bplustree,10000000,1,0.134,100000
Btree,10000000,2,0.151667,100000
Bstartree,10000000,2,0.112959,100000
Bplustree,10000000,2,0.119417,100000
Btree,10000000,3,0.127958,100000
Bstartree,10000000,3,0.0995,100000
Bplustree,10000000,3,0.113625,100000
