tree,order,trial,n_queries,total_us,mean_us,hits
Btree,3,1,10000,1208.12,0.120813,10000
Bstartree,3,1,10000,895.416,0.0895416,10000
Bplustree,3,1,10000,852.333,0.0852333,10000
Btree,4,1,10000,867.125,0.0867125,10000
Bstartree,4,1,10000,718.25,0.071825,10000
Bplustree,4,1,10000,664.125,0.0664125,10000
Btree,5,1,10000,745.292,0.0745292,10000
Bstartree,5,1,10000,672.625,0.0672625,10000
Bplustree,5,1,10000,584.792,0.0584792,10000
Btree,7,1,10000,718.792,0.0718792,10000
Bstartree,7,1,10000,592.291,0.0592291,10000
Bplustree,7,1,10000,552.375,0.0552375,10000
Btree,10,1,10000,714,0.0714,10000
Bstartree,10,1,10000,524.459,0.0524459,10000
Bplustree,10,1,10000,419.375,0.0419375,10000
Btree,15,1,10000,523.792,0.0523792,10000
Bstartree,15,1,10000,487,0.0487,10000
Bplustree,15,1,10000,411.083,0.0411083,10000
Btree,20,1,10000,513.792,0.0513792,10000
Bstartree,20,1,10000,492.333,0.0492333,10000
Bplustree,20,1,10000,358.833,0.0358833,10000
Btree,30,1,10000,493.375,0.0493375,10000
Bstartree,30,1,10000,462.083,0.0462083,10000
Bplustree,30,1,10000,399.5,0.03995,10000
Btree,50,1,10000,475.542,0.0475542,10000
Bstartree,50,1,10000,487.541,0.0487541,10000
Bplustree,50,1,10000,377.5,0.03775,10000
Btree,3,2,10000,1162.88,0.116288,10000
Bstartree,3,2,10000,848.042,0.0848042,10000
Bplustree,3,2,10000,856.875,0.0856875,10000
Btree,4,2,10000,854.084,0.0854084,10000
Bstartree,4,2,10000,726.334,0.0726334,10000
Bplustree,4,2,10000,663.584,0.0663584,10000
Btree,5,2,10000,839.375,0.0839375,10000
Bstartree,5,2,10000,679.792,0.0679792,10000
Bplustree,5,2,10000,574.709,0.0574709,10000
Btree,7,2,10000,688,0.0688,10000
Bstartree,7,2,10000,649.292,0.0649292,10000
Bplustree,7,2,10000,546.542,0.0546542,10000
Btree,10,2,10000,599.125,0.0599125,10000
Bstartree,10,2,10000,520.625,0.0520625,10000
Bplustree,10,2,10000,448.875,0.0448875,10000
Btree,15,2,10000,524.292,0.0524292,10000
Bstartree,15,2,10000,493.292,0.0493292,10000
Bplustree,15,2,10000,409.292,0.0409292,10000
Btree,20,2,10000,844.042,0.0844042,10000
Bstartree,20,2,10000,489.541,0.0489541,10000
Bplustree,20,2,10000,348.084,0.0348084,10000
Btree,30,2,10000,484.459,0.0484459,10000
Bstartree,30,2,10000,469.584,0.0469584,10000
Bplustree,30,2,10000,404.208,0.0404208,10000
Btree,50,2,10000,485.958,0.0485958,10000
Bstartree,50,2,10000,524.041,0.0524041,10000
Bplustree,50,2,10000,421.958,0.0421958,10000
Btree,3,3,10000,1198.29,0.119829,10000
Bstartree,3,3,10000,912.916,0.0912916,10000
Bplustree,3,3,10000,874.125,0.0874125,10000
Btree,4,3,10000,887.291,0.0887291,10000
Bstartree,4,3,10000,809.291,0.0809291,10000
Bplustree,4,3,10000,660.542,0.0660542,10000
Btree,5,3,10000,832.834,0.0832834,10000
Bstartree,5,3,10000,717.208,0.0717208,10000
Bplustree,5,3,10000,582.125,0.0582125,10000
Btree,7,3,10000,696.208,0.0696208,10000
Bstartree,7,3,10000,599.541,0.0599541,10000
Bplustree,7,3,10000,551.167,0.0551167,10000
Btree,10,3,10000,596.75,0.059675,10000
Bstartree,10,3,10000,520.833,0.0520833,10000
Bplustree,10,3,10000,451.875,0.0451875,10000
Btree,15,3,10000,514.709,0.0514709,10000
Bstartree,15,3,10000,485.209,0.0485209,10000
Bplustree,15,3,10000,412.25,0.041225,10000
Btree,20,3,10000,491.666,0.0491666,10000
Bstartree,20,3,10000,483.792,0.0483792,10000
Bplustree,20,3,10000,350.959,0.0350959,10000
Btree,30,3,10000,475.958,0.0475958,10000
Bstartree,30,3,10000,503.375,0.0503375,10000
Bplustree,30,3,10000,419,0.0419,10000
Btree,50,3,10000,474.208,0.0474208,10000
Bstartree,50,3,10000,493.375,0.0493375,10000
Bplustree,50,3,10000,381.917,0.0381917,10000
